Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,55.00,55.75,54.00,55.00,7800,55.00
2014-02-25,55.50,56.75,55.50,56.00,15600,56.00
2014-02-21,52.50,54.25,52.00,52.75,13100,52.75
2014-02-20,53.00,54.25,52.25,53.50,9500,53.50
2014-02-19,53.50,54.00,53.00,54.00,11200,54.00
2014-02-18,54.00,54.00,53.00,53.50,14500,53.50
2014-02-17,54.00,54.25,53.25,53.25,7100,53.25
2014-02-14,54.50,55.00,54.25,55.00,11700,55.00
2014-02-13,53.00,54.50,52.50,54.25,16900,54.25
2014-02-12,54.00,54.50,52.50,53.00,13700,53.00
2014-02-11,55.50,55.50,53.50,53.50,23100,53.50
2014-02-10,55.00,55.00,53.50,55.00,14500,55.00
2014-02-07,52.00,53.50,52.00,53.50,10400,53.50
2014-02-06,51.00,52.00,51.00,52.00,3300,52.00
2014-02-05,50.25,51.50,50.00,50.50,1600,50.50
2014-02-04,51.75,51.75,50.00,50.25,7400,50.25
2014-02-03,51.75,51.75,51.00,51.00,7000,51.00
2014-01-31,51.75,51.75,49.90,51.75,4000,51.75
2014-01-30,51.00,52.25,50.00,50.75,26400,50.75
2014-01-29,52.50,53.00,50.25,51.00,10100,51.00
2014-01-28,52.00,53.25,51.50,52.50,6300,52.50
2014-01-27,53.00,53.00,48.20,52.00,19700,52.00
2014-01-24,54.50,54.50,53.25,53.25,9200,53.25
2014-01-23,55.00,55.00,54.00,54.00,5300,54.00
2014-01-22,55.75,56.00,54.50,54.50,4700,54.50
2014-01-21,54.75,55.50,54.00,55.50,13900,55.50
2014-01-20,55.25,55.75,54.50,55.00,8600,55.00
2014-01-17,55.25,55.50,54.50,55.25,6000,55.25
2014-01-16,54.50,55.25,54.50,55.00,5900,55.00
2014-01-15,54.25,55.75,54.25,55.75,8900,55.75
2014-01-14,54.25,55.00,54.25,55.00,3000,55.00
2014-01-13,54.50,55.00,54.50,54.50,10800,54.50
2014-01-10,54.50,55.00,54.00,54.50,5600,54.50
2014-01-09,55.75,55.75,54.00,55.00,5800,55.00
2014-01-08,55.00,55.75,55.00,55.75,3900,55.75
2014-01-07,55.50,56.00,54.50,55.50,4900,55.50
2014-01-06,55.50,55.50,55.50,55.50,000,55.50
2014-01-03,56.50,56.50,54.00,55.50,4800,55.50
2014-01-02,55.50,56.50,55.00,56.50,6200,56.50
2014-01-01,54.50,54.50,54.50,54.50,000,54.50
2013-12-31,54.50,54.50,54.50,54.50,000,54.50
2013-12-30,55.00,55.00,54.00,54.50,9700,54.50
2013-12-27,55.00,56.00,53.50,55.00,11800,55.00
2013-12-26,55.50,55.50,55.50,55.50,000,55.50
2013-12-25,55.50,55.50,55.50,55.50,000,55.50
2013-12-24,55.50,55.50,55.50,55.50,000,55.50
2013-12-23,54.50,55.50,54.00,55.50,50300,55.50
2013-12-20,54.00,55.00,54.00,54.50,12800,54.50
2013-12-19,54.00,55.00,53.25,54.50,12300,54.50
2013-12-18,55.00,55.00,54.00,55.00,4300,55.00
2013-12-17,53.25,54.75,52.25,53.50,10000,53.50
2013-12-16,53.25,54.00,52.50,54.00,12700,54.00
2013-12-13,54.00,55.00,52.50,53.00,6800,53.00
2013-12-12,55.00,55.50,55.00,55.50,114300,55.50
2013-12-11,55.00,55.50,55.00,55.00,7400,55.00
2013-12-10,55.00,55.75,54.50,55.00,12200,55.00
2013-12-09,56.00,56.00,55.00,55.50,6100,55.50
2013-12-06,56.00,56.50,55.00,56.00,23900,56.00
2013-12-05,55.00,56.00,55.00,55.50,4100,55.50
2013-12-04,56.75,56.75,55.00,56.50,6200,56.50
2013-12-03,55.50,56.75,55.50,56.75,3900,56.75
2013-12-02,55.50,56.25,55.50,56.00,3000,56.00
2013-11-29,56.00,56.00,55.50,56.00,2600,56.00
2013-11-28,56.00,56.25,55.25,56.25,9000,56.25
2013-11-27,57.50,57.50,56.00,56.00,3900,56.00
2013-11-26,55.00,56.50,54.75,55.50,6800,55.50
2013-11-25,55.00,56.25,55.00,55.00,4900,55.00
2013-11-22,55.50,57.00,55.00,55.00,15500,55.00
2013-11-21,57.25,57.50,55.00,55.25,9600,55.25
2013-11-20,56.50,57.00,55.00,57.00,15500,57.00
2013-11-19,56.25,56.50,55.50,55.50,5200,55.50
2013-11-18,56.00,56.50,55.50,56.00,7700,56.00
2013-11-15,55.50,56.00,55.50,55.50,12900,55.50
2013-11-14,55.00,55.50,55.00,55.50,3200,55.50
2013-11-13,55.00,55.50,55.00,55.00,2600,55.00
2013-11-12,55.00,56.00,55.00,56.00,4700,56.00
2013-11-11,56.25,56.25,55.00,55.00,4700,55.00
2013-11-08,55.00,56.25,55.00,56.25,13400,56.25
2013-11-07,56.00,56.00,55.00,55.00,7100,55.00
2013-11-06,55.00,55.50,55.00,55.50,11500,55.50
2013-11-05,55.00,55.25,55.00,55.00,5700,55.00
2013-11-04,56.00,56.00,55.00,56.00,12200,56.00
2013-11-01,53.75,55.00,53.75,55.00,9300,55.00
2013-10-31,54.00,54.25,53.75,54.25,23600,54.25
2013-10-30,54.75,54.75,53.50,54.00,6500,54.00
2013-10-29,54.50,54.75,54.00,54.75,5500,54.75
2013-10-28,54.50,54.50,52.00,54.50,5900,54.50
2013-10-25,54.75,55.00,52.50,54.75,13200,54.75
2013-10-24,54.25,54.75,52.00,54.75,7600,54.75
2013-10-23,53.50,55.00,52.50,55.00,7500,55.00
2013-10-22,53.50,54.25,53.50,54.00,3000,54.00
2013-10-21,53.25,54.00,53.25,54.00,8100,54.00
2013-10-18,53.25,54.00,53.25,53.50,12000,53.50
2013-10-17,54.00,54.00,53.25,53.25,7500,53.25
2013-10-16,53.25,53.75,51.00,52.50,13000,52.50
2013-10-15,54.00,54.50,53.25,53.25,5000,53.25
2013-10-14,54.50,54.50,53.00,53.00,5400,53.00
2013-10-11,55.00,55.00,53.50,53.50,7600,53.50
2013-10-10,54.50,55.00,52.00,54.75,36800,54.75
2013-10-09,53.00,54.75,52.00,54.25,36700,54.25
2013-10-08,50.50,52.50,50.50,51.25,5100,51.25
2013-10-07,52.00,52.00,49.00,52.00,9500,52.00
2013-10-04,52.00,52.25,51.25,52.25,5900,52.25
2013-10-03,52.00,52.00,51.25,52.00,15300,52.00
2013-10-02,52.00,52.25,51.25,52.00,9400,52.00
2013-10-01,51.00,52.50,50.50,52.00,5100,52.00
2013-09-30,52.25,52.25,51.75,52.00,22100,52.00
2013-09-27,53.00,53.00,51.75,52.00,5600,52.00
2013-09-26,53.00,53.00,52.00,52.50,3000,52.50
